transaction_id;date;customer_id;name;region;age;product_id;product_name;category;price;quantity;total_amount;product_name_invented;calories;poblacion;calorias_totales;rango_etario;categoria_nombre;venta_normalizada;nivel_gasto
T001;2025-01-01;C0049;Cliente_49;Coquimbo;71;P010;Producto_GT_10;LI;128.22;1;128.22;Jugo de Vainilla;423.0;832864;423.0;Adulto mayor;Líquidos;0.09360803634269627;Bajo
T002;2025-02-21;C0089;Cliente_89;Coquimbo;70;P014;Producto_GT_14;RC;48.66;3;145.98;Yogurt de Vainilla;238.0;832864;714.0;Adulto mayor;Recargas;0.1098415948374359;Bajo
T003;2025-12-04;C0070;Cliente_70;RM;19;P019;Producto_UE_19;LI;25.81;1;25.81;Jugo de Coco;434.0;7400741;434.0;Joven;Líquidos;0.0;Bajo
T004;2025-12-14;C0087;Cliente_87;RM;22;P005;Producto_UE_5;LI;17.84;6;107.04;Bebida de Fresa;102.0;7400741;612.0;Joven;Líquidos;0.07424842097565881;Bajo
T005;2025-11-17;C0056;Cliente_56;Valparaíso;74;P006;Producto_UE_6;RC;65.64;1;65.64;Galleta de Vainilla;513.0;1896053;513.0;Adulto mayor;Recargas;0.036406679889948175;Bajo
T006;2025-10-18;C0007;Cliente_7;BioBio;72;P016;Producto_GT_16;LI;76.65;8;613.2;Bebida de Almendra;376.0;1613059;3008.0;Adulto mayor;Líquidos;0.5369048380757384;Alto
T007;2025-12-15;C0081;Cliente_81;Valparaíso;56;P004;Producto_UE_4;LI;121.05;6;726.3;Yogurt de Limón;400.0;1896053;2400.0;Adulto;Líquidos;0.6402840872736579;Alto
T008;2025-07-28;C0001;Cliente_1;BioBio;69;P014;Producto_GT_14;RC;48.66;6;291.96;Yogurt de Vainilla;238.0;1613059;1428.0;Adulto mayor;Recargas;0.24327486449183294;Medio
T009;2025-08-25;C0013;Cliente_13;BioBio;47;P006;Producto_UE_6;RC;65.64;2;131.28;Galleta de Vainilla;513.0;1613059;1026.0;Adulto;Recargas;0.0964050345968575;Bajo
T010;2025-06-07;C0036;Cliente_36;BioBio;41;P003;Producto_GT_3;GT;125.08;5;625.4;Bebida de Fresa;361.0;1613059;1805.0;Adulto;Golosinas;0.5480562690237014;Alto
T011;2025-01-07;C0064;Cliente_64;Coquimbo;64;P004;Producto_UE_4;LI;121.05;9;1089.45;Yogurt de Limón;400.0;832864;3600.0;Adulto mayor;Líquidos;0.9722219683189676;Alto
T012;2025-08-03;C0022;Cliente_22;Coquimbo;23;P008;Producto_UE_8;RC;72.54;2;145.08;Jugo de Chocolate;176.0;832864;352.0;Joven;Recargas;0.10901894829209438;Bajo
T013;2025-10-30;C0018;Cliente_18;Coquimbo;55;P013;Producto_GT_13;RC;62.63;1;62.63;Bebida de Coco;97.0;832864;97.0;Adulto;Recargas;0.033655384221639266;Bajo
T014;2025-08-08;C0039;Cliente_39;Coquimbo;23;P011;Producto_GT_11;LI;86.7;6;520.2;Jugo de Fresa;577.0;832864;3462.0;Joven;Líquidos;0.4518980283904464;Alto
T015;2025-10-12;C0091;Cliente_91;BioBio;61;P013;Producto_GT_13;RC;62.63;8;501.04;Bebida de Coco;97.0;1613059;776.0;Adulto mayor;Recargas;0.4343847974918421;Medio
T016;2025-08-20;C0099;Cliente_99;Maule;62;P019;Producto_UE_19;LI;25.81;8;206.48;Jugo de Coco;434.0;1123008;3472.0;Adulto mayor;Líquidos;0.165141723718728;Medio
T017;2025-11-11;C0050;Cliente_50;Coquimbo;34;P017;Producto_GT_17;LI;78.6;1;78.6;Jugo de Fresa;182.0;832864;182.0;Adulto;Líquidos;0.04825279014286628;Bajo
T018;2025-04-15;C0008;Cliente_8;Coquimbo;43;P018;Producto_UE_18;GT;36.6;3;109.8;Galleta de Limón;73.0;832864;219.0;Adulto;Golosinas;0.07677120371470618;Bajo
T019;2025-05-24;C0086;Cliente_86;BioBio;65;P012;Producto_GT_12;GT;23.38;5;116.9;Postre de Miel;271.0;1613059;1355.0;Adulto mayor;Golosinas;0.08326097090573385;Bajo
T020;2025-01-31;C0045;Cliente_45;Valparaíso;33;P001;Producto_UE_1;LI;139.98;8;1119.84;Jugo de Naranja;323.0;1896053;2584.0;Adulto;Líquidos;1.0;Alto
T021;2025-03-08;C0057;Cliente_57;Maule;57;P005;Producto_UE_5;LI;17.84;8;142.72;Bebida de Fresa;102.0;1123008;816.0;Adulto;Líquidos;0.10686178623986545;Bajo
T022;2025-01-19;C0018;Cliente_18;Maule;26;P004;Producto_UE_4;LI;121.05;9;1089.45;Yogurt de Limón;400.0;1123008;3600.0;Joven;Líquidos;0.9722219683189676;Alto
T023;2025-01-19;C0065;Cliente_65;Maule;22;P006;Producto_UE_6;RC;65.64;1;65.64;Galleta de Vainilla;513.0;1123008;513.0;Joven;Recargas;0.036406679889948175;Bajo
T024;2025-08-23;C0001;Cliente_1;Coquimbo;64;P016;Producto_GT_16;LI;76.65;5;383.25;Bebida de Almendra;376.0;832864;1880.0;Adulto mayor;Líquidos;0.32671864574097603;Medio
T025;2025-01-22;C0003;Cliente_3;BioBio;24;P016;Producto_GT_16;LI;76.65;6;459.9;Bebida de Almendra;376.0;1613059;2256.0;Joven;Líquidos;0.3967807098525634;Medio
T026;2025-10-09;C0034;Cliente_34;Valparaíso;48;P006;Producto_UE_6;RC;65.64;1;65.64;Galleta de Vainilla;513.0;1896053;513.0;Adulto;Recargas;0.036406679889948175;Bajo
T027;2025-04-03;C0060;Cliente_60;Coquimbo;43;P009;Producto_GT_9;UE;117.29;6;703.74;Snack de Naranja;100.0;832864;600.0;Adulto;Útiles;0.6196630805370968;Alto
T028;2025-04-29;C0093;Cliente_93;Valparaíso;59;P009;Producto_GT_9;UE;117.29;1;117.29;Snack de Naranja;100.0;1896053;100.0;Adulto;Útiles;0.08361745107538185;Bajo
T029;2025-10-11;C0033;Cliente_33;Valparaíso;32;P014;Producto_GT_14;RC;48.66;8;389.28;Yogurt de Vainilla;238.0;1896053;1904.0;Adulto;Recargas;0.3322303775947643;Medio
T030;2025-11-13;C0037;Cliente_37;Maule;30;P005;Producto_UE_5;LI;17.84;8;142.72;Bebida de Fresa;102.0;1123008;816.0;Adulto;Líquidos;0.10686178623986545;Bajo
T031;2025-06-12;C0093;Cliente_93;Coquimbo;59;P014;Producto_GT_14;RC;48.66;9;437.94;Yogurt de Vainilla;238.0;832864;2142.0;Adulto;Recargas;0.37670813414623;Medio
